,ACC_OWNERSHIP,ACC_MM_ACCOUNT,ACC_4G_COV,ACC_MOBILE_PEN,ACC_FAYDA,USG_P2P_COUNT,USG_P2P_VALUE,USG_ATM_COUNT,USG_ATM_VALUE,USG_CROSSOVER,USG_TELEBIRR_USERS,USG_TELEBIRR_VALUE,USG_MPESA_USERS,USG_MPESA_ACTIVE,USG_ACTIVE_RATE,AFF_DATA_INCOME,GEN_GAP_ACC,GEN_MM_SHARE,GEN_GAP_MOBILE
Telebirr Launch,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safaricom Ethiopia Commercial Launch,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-Pesa Ethiopia Launch,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayda Digital ID Program Rollout,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foreign Exchange Liberalization,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2P Transaction Count Surpasses ATM,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-Pesa EthSwitch Integration,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EthioPay Instant Payment System Launch,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFIS-II Strategy Launch,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safaricom Ethiopia Price Increase,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
